work,location,time post,applications,description
Werkstudent Digital Testing (m/w/d),"BearingPoint Frankfurt am Main, Hessen, Deutschland Hybrid",Vor 1 Woche,8 Bewerbungen,"Ihre Aufgaben:

Als Werkstudent (m/w/d) Digital Testing unterstützen Sie gemeinsam mit uns Kunden bei der Qualitätssicherung von Standardsoftware oder eigenentwickelter Software und bringen sich in abwechslungsreiche Projekte ein: vom App-Testing bis hin zur Testplanung und Teststrategie von Großprojekten.

Schwerpunktmäßig befassen Sie sich mit folgenden Themen:
Planung, Steuerung und Durchführung von Testprojekten
Mitgestaltung vielfältiger Themen im Bereich Test bei Softwareeinführungsprojekten
Einsatz innovativer Testmethoden und Testwerkzeuge in unseren Projekten bei namhaften Kunden
Parallel zu Ihrem Einsatz im Projekt engagieren Sie sich im Team und entwickeln gemeinsam mit uns Services für unsere Kunden, z. B. zum Thema Test Robotics oder Test Artificial Intelligence

Damit punkten Sie bei uns:
Studium bevorzugt der Betriebs- oder Volkswirtschaft, der (Wirtschafts-) Informatik, des (Wirtschafts-) Ingenieurwesens, der (Wirtschafts-) Mathematik oder Naturwissenschaften mit abgeschlossenem 4. Fachsemester
Idealerweise erste praktische Erfahrungen in der Projektarbeit und im Software Testing
Kundenorientiertes und eigenverantwortliches Arbeiten innerhalb unserer Projektteams
Sehr gute deutsche und englische Sprachkenntnisse in Wort und Schrift

Für die Werkstudierendentätigkeit sollten Sie 15-20 Stunden/Woche Zeit haben.

Damit punkten wir bei Ihnen:
Wertvolle Praxiserfahrung durch eigenverantwortliche Mitarbeit auf Kundenprojekten
Unterstützung und individuelle Förderung durch einen persönlichen Mentor
Als Fair Company zahlen wir eine faire Vergütung
Aufbau eines beruflichen Netzwerks in einem international geprägten Umfeld
Aufnahme in unser Praktikantenförderprogramm mit exklusiven Angeboten

Sie haben noch Fragen?

Wir freuen uns auf Ihren Anruf: +49 800-0001824 oder schreiben Sie uns eine Mail an professionals@bearingpoint-careers.de."
Werkstudent Softwareentwicklung (m/w/d),"BKW AG Weiterstadt, Hessen, Deutschland Vor Ort",Vor 2 Tagen,8 Bewerbungen,"Hoch. Spannend. Frei. Die LTB Leitungsbau GmbH ist Partner der Stromnetzbetreiber und sorgt dafür, dass ihre Kunden Strom dorthin bringen können, wo er benötigt wird. Mit unserer über 100-jährigen Tradition, der Expertise und dem Engagement unserer mehr als 400 Mitarbeiter sind wir Komplettanbieter beim Bau und der Instandsetzung von Freileitungen mit Hoch- und Höchstspannung. Seit 2019 sind wir Teil der BKW-Gruppe.

Du suchst spannende Aufgaben parallel zum Studium? Dann komm in unser Team der Softwareentwicklung am Standort Mannheim.

Frank Bochmann, Referent Recruiting, stellt dir die offene Position vor:

Dieses Tätigkeitsfeld begeistert dich
Mitwirkung bei der Entwicklung neuer und Optimierung bestehender Software im .net Umfeld
Dokumentation, Versionierung, Code Reviews und Implementierung von Unit- und Integrationstests

Deine Expertise begeistert uns
Studium der Informatik, Mathematik oder im Ingenieurwesen in einem fortgeschrittenen Semester bzw. abgeschlossene Ausbildung zum Fachinformatiker
schnelle Auffassungsgabe und strukturierte Arbeitsweise
Interesse für Geoinformationssysteme oder Building Information Modeling (BIM) von Vorteil.

Wir wünschen keine Anfragen von Personaldienstleistern."
Intern (M/F/D) Information Technology Application Management,"Kia Europe Frankfurt, Hessen, Deutschland Vor Ort",Vor 3 Wochen,42 Bewerbungen,"Join the movement and find new inspiration.

We Have Exciting Opportunities For You As

Intern Information Technology Application Management (M/F/D)

at the Kia Europe Headquarters in Frankfurt/Main, Germany

>> for 12 months, starting from December 2022

Kia Europe is, together with its sister brand Hyundai, the fifth-largest automotive company in the world. Since its foundation in 1944, Kia Europe has been a significant player in the booming automotive industry, not only in South Korea but worldwide. People drive Kia cars in about 180 countries.

Kia Europe is the Regional Headquarters of Kia and centrally leads the Sales & Marketing activities for 14 European sales subsidiaries and coordinates the activities of our production facility in Zilina, Slovakia. Kia employs about 5,500 persons in Europe, including about 3,500 blue collar workers in our state of the art car plant in Slovakia. We sell just over 500,000 vehicles and produce about 300,000 vehicles for worldwide distribution every year.

You will enjoy working with us if you like these things:
A pulsating international environment. Our workforce is composed of people from 37 nations.
Playing an active and important part in the development of Kia in Europe.
Developing new frameworks and solutions.
Demanding challenges to which you can creatively contribute.
A competitive compensation package; a Job ticket, systematic off and on-the-job training, free staff restaurant as well as exciting company activities.
The Challenges: High - The Job: Great.
Your initiative, energy and persistence will ultimately determine your success.
You will work in a network of experts in IT and other business professionals.
You have the spirit that makes us successful.
You are +++ ambitious +++ dynamic +++ flexible +++ optimistic +++ patient +++

The Requirements

For your internship at Kia Europe you need to be enrolled during the whole internship period. Furthermore you need a valid visa and an unrestricted permit to work in Germany. We recommend completing a twelve-month internship with us, as this gives you sufficient time to learn about Kia Europe and familiarize yourself with your topic. On-site presence is required.

Your Mission
Help to coordinate the daily business and timely completion of IT service activity
Support the team in administrative tasks (Expense Reports, Traveling Organization)
Support the IT Team in development and translation tasks of IT Policy Handbook
Support the team in inventory management process
Receive, coordinate and communicate application related issues and request in ticket management system (IT Hotline)
Take and resolve incoming queries and responsible for local call tracking and reporting
Your Talents
Bachelor or Master student in the field of IT/Computer Science
Capable at analyzing problems and at communicating solutions and results
Advanced computer skills above all MS-Office package
Strong team player with an open approach to different nationalities and cultures
Excellent verbal and written English communication skills
Knowledge about Automotive industry is a plus
If you’re interested to become part of our Kia team, please apply via our online portal. We are looking forward to getting to know you."
Intern Bachelors/Master Computer Science Student,"Honeywell Mainz, Rheinland-Pfalz, Deutschland Vor Ort",Vor 2 Tagen,4 Bewerbungen,"When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

We have a great opportunity for an Intern Bachelors/Master Computer Science Student to join our Honeywell Performance Materials and Technologies team in Mainz-Kastel!

If you are good team player, reliable and are open for new perspectives – this position might be right for you.

Tasks
Developing test cases for the firmware of our Electronic Volume Correctors and Flow Computer. Also, for our PC based configuration tools
Working really close with the firmware department, production and after sales
Computer science topics
Testing processes direct with developers

Requirements
Bachelor’s or Master´s Student
Fluent in German and English
Interest in computer science field
Basic technical skills in Java programming
Understanding of embedded systems

Benefits
A culture that fosters inclusion, diversity and innovation
Market specific training and ongoing personal development
Career growth opportunities;
Experienced leaders to support your professional development;
International work environment;

If this is your dream role, then we'd love to hear from you!

We are an equal opportunity employer and value diversity at our company.

We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment.

Please contact us to request accommodation."
Data Delivery Jave Intern/Co-Op,"State Street Frankfurt, Hessen, Deutschland Hybrid",Vor 3 Wochen,1 Bewerbung,"JAVA / Microservices Intern

We’re looking for a high motivated person who will be part of our

KVG Data Delivery team with the following skills or abilities:

The ability to handle high workload and fast pacing environment
High degree of independence, personal responsibility and assertiveness
Teamwork, analytical thinking and solution oriented
High level of proficiency in one of the programming languages : JAVA, Python , Apache SPARK
Ability of understand the end to end Software Development Lifecycle.

In addition you will get the knowledge about State Street’s way of working.

Primary Responsibilities

As an Intern you will be :

Developing JAVA / Microservices based transformation tools
Build Cloud native applications for data transformation pipeline
Participate in architectural decision for KVG Data Transformation platform
Help in building DevOps pipeline for KVG Data Transformation pipeline
be an interface between business- and IT-Teams
taking care of the change management process for production changes
error handling
Incident- and Problem management handling
supporting global initiatives

Required Qualifications

Studies in Computer Science, IT or something similar.
Knowledge of JAVA, Spring Framework, Microservices, APIs and DevOps tools.
Knowledge about GIT, Artifactory, Cloud Foundry and Cloud Tools is advantageous.
Self-motivated , self-organized and curious about new technology and bale to work through a large organization.
Available for at least 6-months.

About State Street What we do. State Street is one of the largest custodian, asset manager and asset intelligence firms in the world. From technology to product innovation, we make our mark on the financial services industry. For more than two hundred years, we've been helping our clients secure and manage the investments of millions of people. We offer investment servicing, data & analytics, investment research & trading and investment management for institutional clients. Working, Living, Growing. It is very important to us to create a pleasant working environment. Our additional services are competitive and extensive. Details depend on location, but you can expect insurance, company pensions, and other perks. You can participate in a flexible work schedule to help meet your needs. Our large selection of training courses and further education opportunities will help you to develop your full potential. Inclusion, diversity and social responsibility. We believe that the diverse backgrounds, experiences and perspectives of our employees make a tremendous contribution to an inclusive environment where everyone can thrive while supporting our organization and our customers. We welcome candidates of any background, ability, sexual orientation, gender identity, personality and age. Another core value of State Street is active engagement within our communities around the world, both as a partner and as an initiator. You will have opportunities for a healthy work-life balance, including paid volunteer days, community service programs and employee networking, depending on what is important to you. State Street is an Equal Opportunity Employer and a supporter of minority empowerment policies. Find out more at StateStreet.com/careers

Job ID: R-721912"
Werkstudent_in Job – Expert Labs (w/m/x),"IBM Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 3 Tagen,5 Bewerbungen,"609689BR

Introduction

Wir leben in einer Zeit stetigen Wandels und außergewöhnlicher Möglichkeiten. Mit innovativen Technologien wie Watson AI, Blockchain und Cloud revolutionieren wir ganze Branchen und Geschäftsmodelle und unterstützen unsere Kunden.

Du planst ein Master-Studium oder studierst bereits im Master-Studium in einem vorzugweise technischen Studiengang und bist auf der Suche nach einem Werkstudent_innen Job? Dann haben wir genau das Richtige für dich!

Your Role and Responsibilities

Du Bekomms

so viel Praxis wie du mit deinen Studienplänen vereinbaren kannst
auf dein Studium abgestimmte, flexible Arbeitszeiten und mobiles Arbeiten
Vertragslaufzeit bis zum geplanten Ende deines Studiums, wenn Du das wünschst
moderne Ausstattung für Deine Arbeit, beispielsweise MacBook, iPhone etc.
umfangreiches, praxisrelevantes Schulungsangebot, Job Shadowing und Karrierecoaching
Deine Master-Thesis schreibst du möglichst in Zusammenarbeit mit Deinem Bereich
Aussicht auf eine mögliche Übernahme

Es Erwarten Dich Folgende Aufgaben

Du wirst für vielfältige Tätigkeiten im Bereich Expert Labs eingesetzt
Mit einem in Deutschland, Österreich und Schweiz aufgestellten Service Team ist dieser Bereich mit seiner technischen Expertise bei vielen Kunden als Trusted Advisor unterwegs, wenn es um strukturierte IBM Lösungsansätze geht.
Du lernst im Team strukturierte Ansätze und Methoden kennen, um die Mehrwerte der verschiedenen IBM Lösungen für den Endkunden herauszuarbeiten. Dazu bindest du die notwendigen Skills und Ressourcen aus anderen Bereichen ein, ob national oder international, ob Forschung, Entwicklung, Sales oder Consulting und erlernst auf diese Weise die Arbeitsweise in einer weltweiten Matrix-Organisation.
Dein Verantwortungsbereich umfasst die Vorbereitung und Durchführung von Workshops, Erarbeitung von Konzepten und deren Verifizierung in MVPs, die Mitarbeit in Implementierungen bei unseren Kunden und noch vieles mehr. Angelehnt an die Entwicklungen des Marktes stehen aktuell die Themen Artificial Intelligence (AI), Machine/Deep Learning (ML/DL), Data Analytics, Automation und Sustainability im Fokus.

Neben diesen spannenden Aufgaben hast du natürlich ausreichend Freiraum dich deinem Master-Studium zu widmen.

Wir Bieten

Auswahl zwischen 18 Stunden Freistellung für die Hochschule und 20 Stunden Arbeitszeit bei IBM oder 23 Stunden Freistellung für die Hochschule und 15 Stunden Arbeitszeit bei IBM.

Hinweise Zur Bewerbung

Bitte bewerbe dich auf Deutsch und reiche folgende Dokumente bei der Online-Bewerbung (bitte zusammengefasst in einem PDF Dokument in „Candidate Zone“ – „Profile“ – „Resume CV“) ein:

Aussagekräftiger Lebenslauf
Bachelor- oder Diplom-Zeugnis und ggf. Arbeits- und Praktikumszeugnisse. Sofern noch kein Zeugnis zum Studienabschluss vorliegt, bitten wir um Zusendung des aktuellen Notenspiegels. Von Bewerber_innen mit einem Abschluss einer ausländischen Hochschule wird eine individuelle Zeugnisbewertung der Zentralstelle für ausländisches Bildungswesen (ZAB) benötigt.
Bewerber_innen aus Nicht-EU-Staaten müssen eine gültige Arbeitserlaubnis und Aufenthaltsgenehmigung vorweisen.

Wir freuen uns auf deine Bewerbung!

Required Technical and Professional Expertise

Abgeschlossenes Bachelor-Studium
Technischer Master-Studiengang zum Beispiel Wirtschaftsinformatik, Informatik, Cyber Security, Data Science
Dein Abschluss inkl. Masterarbeit ist in frühestens ca. 12 Monaten

Preferred Technical And Professional Expertise

About Business Unit

Mit der Fokussierung der IBM auf Technologie steigt in IBM Kundenprojekten der Bedarf an Kompetenz zu IBM Software Produkten. Es ist unsere Mission als IBM Expert Labs genau diese Kompetenz einzubringen. In unseren Projekten unterstützen wir IBM-Kunden beim Einsatz von IBM Software entweder direkt oder bringen diese Expertise in gemeinsamen Projekten mit IBM Consulting ein. Dabei treibt uns das Ziel an, Geschäftsnutzen für den Kunden durch den optimalen Einsatz von IBM Software Technologie zu optimieren

Your Life @ IBM

Bei IBM kannst du so sein, wie du bist - wir bieten ein Arbeitsumfeld, das von Vielfalt, Vertrauen, Offenheit, Respekt und Toleranz geprägt ist. Bei uns wirst du fester Bestandteil der internationalen IBM Family: Wir ermöglichen dir jobbezogen die individuelle Gestaltung deines Arbeitsalltags durch Flexibilität bzgl. Arbeitsort und Arbeitszeit. Außerdem steht persönliche Weiterentwicklung bei uns an erster Stelle und wird u.a. durch KI-gestützte Lernplattformen, Talentprogramme und Mentoring begleitet.

About IBM

Das Beste an IBM sind die IBMer_innen. Wir sind überzeugt, dass innovative Technologie im Zusammenspiel mit Nachhaltigkeit, Vielfalt und Vertrauen zu mehr Geschäftserfolg führen und gleichzeitig einen positiven Unterschied für die Gesellschaft und die Menschen machen. Diese Werte bestimmen seit 1911 unser tägliches Handeln und macht uns zum größten Technology- und Consulting Arbeitgeber der Welt – mit 380.000 IBMer_innen sind wir für unsere Kunden aus über 170 Ländern der Welt da.

Location Statement

IBM ist es wichtig, Ihnen ein Arbeitsumfeld zu bieten, in dem Sie Ihr ganzes Potenzial voll entfalten können und die Möglichkeit haben, Ihren Arbeitstag flexibel zu gestalten. Wenn Sie Interesse daran haben, sprechen Sie uns bitte an, um herauszufinden, welche Gestaltungsmöglichkeiten im aktuellen Arbeitsumfeld bestehen.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Master student in computer science, mathematics, optical engineering or similar (f/m/x)","Deutsches Zentrum für Luft-und Raumfahrt e.V. Darmstadt, Hessen, Deutschland Vor Ort",Vor 1 Monat,22 Bewerbungen,"Your mission:

The lack of publicly available data, the cost intensity, and the high time expenditure associated with acquiring labeled data are leading to the increasing use of synthetic data when training deep neural networks for diverse computer vison tasks (e.g., drone detection). Data generation methods range from fairly simple techniques, such as domain randomization, to game engine-based simulations in three-dimensional environments (e.g., via Unreal Engine). Despite their popularity, the discrepancy between simulation and reality (also known as simulation-reality gap) is a non-negligible and controversial issue of ongoing research. Therefore, the development of generation techniques for synthetic data, as well as the evaluation and quantification of their benefits and limitations are important research topics.

The objective of this work is the analysis of the applicability of synthetic data for deep learing-based object detection derived from a three-dimensional replica of the target environment (especially regarding the simulation-reality gap). This includes

the game engine-based simulation and generation of synthetic data including the enhancement of the 3D model of the target domain (e.g., with respect to vegetation, lightning, weather conditions, or seasonal effects)
the investigation of the existence and extent of the simulation-reality gap using state-of-the-art object detection models including different training strategies
the adaption of simulation parameters to complete real data in the most efficient way.

This work is based on existing preliminary work, upon which further aspects will be explored.

Your qualifications:

currently enrolled as a Master student in computer science, mathematics, optical engineering or similar major
experience in working with Unreal or Unity (or something comparable), ideally experience with Microsoft AirSim
interest in deep learning, image processing, and object detection
basic Python skills (ideally with respect to deep learning applications, e.g., Pytorch or Tensorflow)
knowledge of the German language is perferred though not necessary

Your benefits:

Look forward to a fulfilling job with an employer who appreciates your commitment and supports your personal and professional development. Our unique infrastructure offers you a working environment in which you have unparalleled scope to develop your creative ideas and accomplish your professional objectives. Our human resources policy places great value on a healthy family and work-life-balance as well as equal opportunities for persons of all genders (f/m/x). Individuals with disabilities will be given preferential consideration in the event their qualifications are equivalent to those of other candidates."
"Deutsche Bank Internship (m/f/x) in Technology, Data & Innovation 2023","Deutsche Bank Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 2 Wochen,Mehr als 200 Bewerbungen,"Duration: 2–6 months, period to be agreed individually
Country:
Germany
City:
Frankfurt am Main
Job Description:
Deutsche Bank Internship (m/f/x) in Technology, Data & Innovation 2023 Locations: Frankfurt/Main, Eschborn
About Deutsche Bank

Deutsche Bank is the leading German bank with strong European roots and a global network. We’re driving growth through our strong client franchise. Against a backdrop of increasing globalization in the world economy, Deutsche Bank is very well-positioned, with significant regional diversification and substantial revenue streams from all the major regions of the world. We serve our clients’ real economic needs in commercial banking, investment banking, private banking and asset management. We are investing heavily in digital technologies, prioritizing long term success over short-term gains, and serving society with ambition and integrity. All this means a career packed with opportunities to grow and the chance to shape the future of our clients.

About Your Internship

At Deutsche Bank, we are transforming the world of banking. We are looking for creative employees who are ready to make a difference from day one. You will start developing the skills you need to succeed in the financial industry. You will take on real responsibilities, work on projects and have the opportunity to grow your network. Find out how our inclusive and diverse work environment contributes to our success and how we deliver the best possible solutions to our clients with our highly skilled team. Your manager, your team members and your trainee buddy will always be willing to lend an open ear to your questions and concerns. If you would like to get a head start to your career, then take our internship to create the perfect foundation for success.

About Technology, Data & Innovation

Technology underpins Deutsche Bank’s entire business and is changing and shaping the way we engage, interact and transact with our stakeholders, internally and externally. Our Technology, Data and Innovation (TDI) strategy is strengthening our engineering expertise, introducing an agile delivery model, and is modernising the bank's IT infrastructure with long-term investments and taking advantage of cloud computing. We are building a team of visionary technology talent that will ensure that we thrive in this period of unprecedented change for the industry. That means hiring the right people and giving them the training, freedom and opportunity they need to do pioneering work. Our technology teams deliver and manage engineering solutions to support the bank’s global customers. You will develop and deliver solutions to help modernise technology solutions, to reduce complexity and risk, and to drive business growth. You will be part of a creative, collaborative and innovative team, partnering with others, sharing solutions and you will have a strong desire to make an impact.

Your Role

As an intern, you have the opportunity to get to know and work on tasks from different perspectives. In day-to-day business and in projects, you can choose one of two main areas. If you are interested in optimizing business processes, then analysis is the right area for you. If, on the other hand, your strengths lie more in the technical area, you'll fit in perfectly in development. This way, you can find out whether an entry-level position in Technology is right for you and fits your goals. Your specific assignments and tasks will depend on which of our teams you join and how long your internship with us lasts. You will receive a wide range of support and benefit from the expertise of experienced teams.

Possible fields of activity:
Analysis: you will support our customers in innovative projects and develop customized technological concepts that make our processes easier and more efficient.
Development: if you are proficient in at least one programming language and want to design and develop innovative technical solutions using state-of-the-art software and hardware, this is the role for you, with a focus on applications, quality assurance and testing, or as a technical specialist.

Your Qualifications

Our internship will give you the professional skills you need to start your career. For us, creativity and flexibility are key. That's why we are looking for entrepreneurial talents who are able to thrive in our diverse culture.
You are at least in your third semester and are studying (business) computer science, (business) mathematics, industrial engineering or a comparable scientific discipline with an IT focus?
You are interested in financial issues and innovative technology?
You have already gained some practical experience?
You are experienced in using MS Office and common applications and you already have some programming experience?
Your communication skills are well-developed, your English skills fluent?
You do enjoy working in a team and can inspire others with your ideas?
You are a responsible, committed personality with excellent analytical skills and a quick grasp?

Then we look forward to meeting you.

Locations

Locations: Frankfurt/Main, Eschborn

Click here to find out more about internships at Deutsche Bank.

Contact

0800 3331115

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation."
Werkstudent (w/m/d) Robotic Process Automation,"DekaBank Deutsche Girozentrale Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 3 Wochen,2 Bewerbungen,"Die DekaBank ist das Wertpapierhaus der Sparkassen und somit fest verankert im größten Finanzverbund der Welt. Seit über 100 Jahren sind wir fester Bestandteil der Finanzwirtschaft. Dabei haben wir die Zukunft im Blick, die „Nachhaltigkeitsstrategie der Deka-Gruppe” ist ein wichtiger Teil unserer Geschäftsstrategie.

Als Arbeitgeberin gestalten wir die Finanzwelt modern und individuell. Wir haben uns zum Ziel gesetzt, auch in Zukunft nie still zu stehen, moderne Arbeitsmethoden zu fördern und die Digitalisierung voranzutreiben. So können wir innovative Produkte und individuelle Lösungen für unsere Kunden entwickeln. Seit jeher sind wir davon überzeugt, dass die erfolgreiche Platzierung neuer Produkte am Markt Kompetenz und Flexibilität braucht.

Beständig auf Zukunftskurs

Sie Erwartet
Sie arbeiten in einem agilen Team mit erfahrenen Entwicklern zusammen und erstellen auf Basis der Robotics-Lösung UIPath Automatisierungen für bestehende Prozesse der Bank.
Im Rahmen dieser Tätigkeit lernen Sie Prozesse aus den unterschiedlichen Facheinheiten der Bank kennen und helfen diese zu optimieren.
Dabei stehen Sie im engen Austausch mit den Fachbereichen. Sie klären fachliche Fragen zu den Prozessen und unterstützen bei der Beratung der Fachbereiche hinsichtlich der technischen Optimierung.
Auch die Dokumentation Ihrer Arbeit, gemäß den Anforderungen der Bank, ist wichtiger Bestandteil Ihrer Tätigkeit.

Sie Bringen Mit
Sie studieren (Wirtschafts-) Informatik im 2. Semester oder höher
Sie haben bereits Programmierkenntnisse (z.B. in Java, C#, VBA, PL/SQL, JavaScript, VB.NET, Python oder ABAP)
Sie verfügen über gute Kenntnisse der MS Office-Programme (Word, Excel, PowerPoint)
Sie bringen ein ausgeprägtes Interesse für neue Technologien mit und haben ggf. sogar schon Erfahrungen in der Automatisierung von Prozessen
Sie verfügen bereits über grundlegende Kenntnisse zu agilen Arbeitsformen (z.B. SCRUM, KANBAN, DevOps oder Design Thinking)"
Praktikum - Entwicklung Browser-Extension - Autonomes Fahren,"Continental Eschborn, Hessen, Deutschland Hybrid",Vor 1 Monat,7 Bewerbungen,"Job Description

Wir suchen ab sofort einen Praktikanten (m/w/divers) für eine Dauer von 6 Monaten zur Unterstützung im Bereich Autonomes Fahren - Entwicklung.

Zu Ihren Aufgaben gehören:

Entwicklung einer Webbrowser Erweiterung zur Optimierung des Spezifikations-Workflows
Weiterentwicklung einer Browser Erweiterung mit Javascript
Unterstützung bei der Programmierung des Backends in Python
Weiteres Entwicklungspotential erkennen und selbstständig umsetzen
Durchführen von kurzen Online-Schulungen/Tutorials
Ansprechpartner als First-Level-Support für andere Bereiche

Job Requirements

Studierende eines informationstechnischen oder technischen Studiengangs wie Informatik, Maschinenbau, Fahrzeugtechnik oder vergleichbarer Studiengänge
Sehr gute Kenntnisse in Javascript sowie Grundkenntnisse in Python
Sicherer Umgang mit den MS-Office Programmen
Fließende Deutsch- und gute Englischkenntnisse in Wort und Schrift
Schnelle Auffassungsaufgabe, analytisches Denken und Selbstständigkeit

Bitte denken Sie daran, Ihre aktuelle Immatrikulationsbescheinigung ebenso wie Ihren aktuellen Notenspiegel und ggf. den Auszug aus der aktuellen Studienordnung hinsichtlich Pflichtpraktika (falls zutreffend) hochzuladen, da diese für die Bearbeitung Ihrer Bewerbung zwingend erforderlich sind.

Die Bewerbungen von schwerbehinderten Menschen sind willkommen.

What We Offer

Vergütetes Praktikum nach Konzernstandards
Wir entwickeln Testmethoden, -prozesse und Tools, um autonome Fahrfunktionen abzusichern
Als Praktikant (m/w/divers) können Sie sich bei uns selbst verwirklichen
Bei uns genießen Sie die Freiheit, die Themen, an denen Sie arbeiten, selbst mitbestimmen zu dürfen

Job Type

Praktikum

Job Category

Engineering

Division Footer Text

Sie wollen mit uns Gas geben? Starten Sie durch und bewerben Sie sich jetzt!

About Continental

Continental entwickelt wegweisende Technologien und Dienste für die nachhaltige und vernetzte Mobilität der Menschen und ihrer Güter. Das 1871 gegründete Technologieunternehmen bietet sichere, effiziente, intelligente und erschwingliche Lösungen für Fahrzeuge, Maschinen, Verkehr und Transport. Continental erzielte 2021 einen Umsatz von 33,8 Milliarden Euro und beschäftigt aktuell mehr als 190.000 Mitarbeiterinnen und Mitarbeiter in 58 Ländern und Märkten. Am 8. Oktober 2021 hat das Unternehmen sein 150-jähriges Jubiläum gefeiert.Der Unternehmensbereich Automotive umfasst Technologien für passive Sicherheits-, Brems-, Fahrwerk- sowie Bewegungs- und Bewegungskontrollsysteme. Innovative Lösungen für das assistierte und automatisierte Fahren, Anzeige- und Bedientechnologien sowie Audio- oder Kameralösungen für den Innenraum gehören ebenso zum Portfolio wie intelligente Informations- und Kommunikationstechnik für Mobilitätsdienstleistungen für Flottenbetreiber und Nutzfahrzeughersteller. Umfassende Aktivitäten rund um Vernetzungstechnologien und Fahrzeugelektroniken bis hin zu Hochleistungscomputern ergänzen das Angebot.

Country

Deutschland

Division

Autonomous Mobility (AM)

Contact Name

Charlotta Depping

Job Flexibility

Hybrid Job

Job Flexibility disclaimer

Hybrid Job – Mobile Arbeit und Arbeiten am Unternehmensstandort"
